en_form,domain,en_sense,de_aligned_forms,de_aligned_counts,example_en_sentence,example_de_sentence,n_instances,total_en_form_instances_in_domain,pct_of_form_in_domain
able,Art,Affect,"Lage, benutzen, kann, konnte","Lage:1, benutzen:1, kann:1, konnte:1","We 've been able to license The 99 comic books into eight languages so far -- Chinese , Indonesian , Hindi , Urdu , Turkish .","Wir haben die "" 99 "" - Comichefte bisher in acht Sprachen übersetzt : Chinesisch , Indonesisch , Hindi , Urdu , Türkisch .",10,15,0.6667
able,Art,Judgement,,,But it actually was n't until recently that we were able to expand our size range in a major way .,Wir konnten aber erst kürzlich unser Größensortiment erheblich erweitern .,2,15,0.1333
able,Art,Appreciation,"darin, können","darin:1, können:1","Mujiba , from Malaysia : her main power is she 's able to answer any question .","Mujiba aus Malaysia , ihre Kraft besteht darin jede Frage zu beantworten .",3,15,0.2
amazing,Art,Affect,,,,,0,6,0.0
amazing,Art,Judgement,"abgefahren, umwerfend, unglaublich","abgefahren:1, umwerfend:1, unglaublich:1",It was amazing .,Es war umwerfend !,3,6,0.5
amazing,Art,Appreciation,"super, wirklich toll, wirklich unglaublich","super:1, wirklich toll:1, wirklich unglaublich:1","But the biggest thing we 've done to date , which is just amazing , is that we 've done a 26 - episode animated series , which is done for global audiences : in fact , we 're already going to be in the U.S. and Turkey , we know .","Das Größte was wir bisher gemacht haben und das ist einfach super , ist eine Zeichentrickserie mit 26 Folgen , die für Zuschauer weltweit angedacht ist . Wir wissen bereits , dass diese in die USA und die Türkei kommen .",3,6,0.5
busy,Art,Affect,"arbeite, sehr beschäftigt","arbeite:1, sehr beschäftigt:1","I 'm working . I 'm busy . ""","Ich arbeite , bin beschäftigt . """,2,5,0.4
busy,Art,Judgement,damit beschäftigt,damit beschäftigt:1,"My older sister was busy torturing my parents , and they were busy torturing her .","Meine ältere Schwester war damit beschäftigt , meine Eltern zu quälen , und sie waren wiederum damit beschäftigt , sie zu quälen .",1,5,0.2
busy,Art,Appreciation,"ausgelastet, damit beschäftigt","ausgelastet:1, damit beschäftigt:1","My older sister was busy torturing my parents , and they were busy torturing her .","Meine ältere Schwester war damit beschäftigt , meine Eltern zu quälen , und sie waren wiederum damit beschäftigt , sie zu quälen .",2,5,0.4
cool,Art,Affect,cool,cool:2,"It was n't so much that I was planning to teach them with comics , it was more that I was hoping comics would make them think that I was cool .","Ich wollte sie nicht mit Comics unterrichten . Ich wollte eher , dass ich mit Comics cool wirke .",2,4,0.5
cool,Art,Judgement,cool,cool:2,"But it was so cool because I could write these stories , I could come up with these ideas , and they 'd be published in the school paper , and people who I did n't know could read them .","Es war so cool , ich konnte diese Geschichten schreiben , ich konnte mir diese Ideen einfallen lassen und sie wurden in der Schülerzeitung veröffentlicht , und Leute , die ich nicht kannte , konnten sie lesen .",2,4,0.5
cool,Art,Appreciation,,,,,0,4,0.0
curious,Art,Affect,neugierig,neugierig:3,I got curious again .,Ich wurde wieder neugierig .,3,4,0.75
curious,Art,Judgement,,,,,0,4,0.0
curious,Art,Appreciation,interessieren,interessieren:1,"The first three things are about how I 've been curious about technology , design and art , and how they intersect , how they overlap , and also a topic that I 've taken on since four years ago I became the President of Rhode Island School of Design : leadership .","Bei den ersten dreien geht es darum , wie ich mich für Technik , Design und Kunst zu interessieren begann und wie sie sich überschneiden . Ein weiteres Thema , das mich bewegt , seit ich vor vier Jahren Präsident der Rhode - Island - Schule für Design wurde , ist Führungsqualität .",1,4,0.25
dead,Art,Affect,tot,tot:1,"My friend described it as a wake , but happy , because everyone I ever knew was there in line to see me , but I was n't dead .","Mein Freund beschrieb es als eine Art Totenwache , aber fröhlicher , weil jeder , den ich kannte , kam , um mich zu sehen , aber ich nicht tot war .",1,7,0.1429
dead,Art,Judgement,tot,tot:5,I received a box in the mail and it was wrapped with newspaper and there was the picture of the man on the newspaper and he was dead .,Ich habe in der Post eine Schachtel erhalten und die war in Zeitungspapier eingewickelt und in dieser Zeitung war das Bild dieses Mannes und er war tot .,5,7,0.7143
dead,Art,Appreciation,leidet,leidet:1,"Every boy and every girl will be dead without it , struggle without it , nothing without it .","Jeder Junge und jedes Mädchen leidet ohne sie , muss kämpfen ohne sie , ist nichts ohne sie .",1,7,0.1429
easy,Art,Affect,einfach,einfach:1,"I did n't need my dream to be easy , I just needed it to be possible .","Mein Traum musste nicht einfach sein , er musste nur möglich sein .",1,4,0.25
easy,Art,Judgement,einfach,einfach:1,"For some of you , it 's pretty easy .",Für einige von Ihnen ist das ziemlich einfach .,1,4,0.25
easy,Art,Appreciation,einfach,einfach:2,And I would like to say that life was totally easy with them .,"Ich würde gerne sagen , dass das Leben mit ihnen total einfach war .",2,4,0.5
free,Art,Affect,Frei,Frei:1,"The second you recognize it , feel free to stand .","Bitte stehen Sie auf , sobald Sie sie erkennen .",2,4,0.5
free,Art,Judgement,frei,frei:1,"It 's like , yes , I can be free .",""" Ja , ich kann frei sein . """,1,4,0.25
free,Art,Appreciation,,,"Residents are free to walk up to the machine anywhere between 9 am and 8 pm daily and take as much as they want , alleviating them from standing in long lines for bottled water .",Jeder Einwohner kann der Maschine täglich zwischen 9 und 20 Uhr beliebig viel Wasser entnehmen . Das erspart langes Anstehen für Wasser in Flaschen .,1,4,0.25
funny,Art,Affect,lustig,lustig:4,"And I said -- these are all arm wrestles , but they 're affectionate -- and I said , "" My father was loving and supportive , which is why I 'm not funny . ""","Ich sagte -- das sind alles Kraftproben , aber sie sind warmherzig -- "" Mein Vater war liebevoll und unterstützend , weshalb ich auch nicht lustig bin """,4,6,0.6667
funny,Art,Judgement,lustig,lustig:1,"You change the typeface to , like , this typeface , and it 's kind of funny .","Man wechselt die Schriftart zu etwas wie dieser Schriftart , und dann ist es irgendwie lustig .",1,6,0.1667
funny,Art,Appreciation,lustig,lustig:1,That 's actually funny .,Das ist eher lustig .,1,6,0.1667
glad,Art,Affect,"froh, freuten, glaube","froh:2, freuten:1, glaube:1",I 'm glad you agree .,"Ich bin froh , dass Sie zustimmen .",4,4,1.0
glad,Art,Judgement,,,,,0,4,0.0
glad,Art,Appreciation,,,,,0,4,0.0
good,Art,Affect,gut,gut:1,"Now , it turns out that I was pretty good at that .","Es hat sich herausgestellt , dass ich das ziemlich gut kann .",1,6,0.1667
good,Art,Judgement,gut,gut:2,"Well , I remember in third grade , I had this moment where my father , who never takes off from work , he 's a classical blue collar , a working - class immigrant person , going to school to see his son , how he 's doing , and the teacher said to him , he said , "" You know , John is good at math and art . ""","Ich erinnere mich an dieses eine Mal in der dritten Klasse , als mein Vater , der niemals freinimmt – er ist ein typischer Einwanderer aus der Arbeiterklasse – in die Schule kam , um zu sehen , wie sich sein Sohn macht . Und der Lehrer sagte zu ihm : "" John ist echt gut in Mathe und Kunst . """,2,6,0.3333
good,Art,Appreciation,"gut, gefallen","gut:2, gefallen:1","You are alive , and that 's pretty good right now .",Man ist an dem Leben und das ist ziemlich gut .,3,6,0.5
great,Art,Affect,Großartig,Großartig:1,"And I had a show in London recently where my friends invited me to come to London for four days to sit in a sandbox , and I said great .","Ich habe neulich bei einer Ausstellung in London mitgemacht . Meine Freunde hatten mich eingeladen , nach London zu kommen und vier Tage lang in einem Sandkasten zu sitzen und ich sagte : "" Großartig . """,1,4,0.25
great,Art,Judgement,großartig,großartig:1,It feels great .,"Es fühlt sich großartig an . """,1,4,0.25
great,Art,Appreciation,großartig,großartig:2,"The browser was great , but the browser was very primitive , very narrow bandwidth .","Der Browser war großartig , aber er war sehr primitiv , mit sehr begrenzter Bandbreite .",2,4,0.5
important,Art,Affect,,,,,0,6,0.0
important,Art,Judgement,wichtig,wichtig:1,"Then there 's the celebrity interview , where it 's more important who 's asking the question than who answers .","Und es gibt das Promi - Interview , bei dem der Fragensteller wichtiger ist , als der , der antwortet .",2,6,0.3333
important,Art,Appreciation,wichtig,wichtig:4,"And that 's why languages are so important , because they give us access to new worlds , not just people .","Deshalb sind Sprachen so wichtig , weil sie uns den Zugang zu neuen Welten ermöglichen , nicht nur zu Menschen .",4,6,0.6667
